Mods count: 104
 
                                jar name                                  |    notes     |            mod id            |                 mod name                 |         mod version          |                                                                                                                                                                                                                                                                                                                               mixin configs                                                                                                                                                                                                                                                                                                                               |              modrinth hash               | curseforge hash
ftb-library-forge-2001.2.12.jar                                           |              | ftblibrary                   | FTB Library                              | 2001.2.12                    | ftblibrary-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 7f36ec4af42ad1d69872c58022e93a9d1b9c82b7 | 3807919150     
ftb-quests-forge-2001.4.22.jar                                            |              | ftbquests                    | FTB Quests                               | 2001.4.22                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 70f3bd771ab3b5921ce1ff5f14166fab694ca1aa | 1456505092     
ftb-ranks-forge-2001.1.7.jar                                              |              | ftbranks                     | FTB Ranks                                | 2001.1.7                     | ftbranks-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               | 1ef101b4c5991cc239d9b56a95500e3b404228f7 | 1064675696     
ftb-teams-forge-2001.3.2.jar                                              |              | ftbteams                     | FTB Teams                                | 2001.3.2                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | c49023f5d471aa1ba7fc624d2565fe9e82b7117e | 816412664      
fusion-1.2.12-forge-mc1.20.1.jar                                          |              | fusion                       | Fusion                                   | 1.2.12                       | fusion.mixins.json, fusion.mixins.refmap.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | ec5c8a552493297842543140fed1b0a327c217f4 | 1574254045     
immersive_melodies-0.6.1+1.20.1-forge.jar                                 |              | immersive_melodies           | Immersive Melodies                       | 0.6.1+1.20.1                 | immersive_melodies.mixin.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 4b2f3f2ec9449ecaf5edd8b7a48bec854105c645 | 180305925      
ImmersiveEngineering-1.20.1-10.2.0-183.jar                                |              | immersiveengineering         | Immersive Engineering                    | 1.20.1-10.2.0-183            | immersiveengineering.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | b6e403e0e5be1802268be366ad1a7791f07fb793 | 1984535685     
immersivefixes-1.0.4-all.jar                                              |              | immersivefixes               | ImmersiveFixes                           | 1.0.4                        | immersivefixes.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | bed870bf3638fa1b309fa45fabdf783f0a242708 | 2705566600     
ImmersivePetroleum-1.20.1-4.3.1-36.jar                                    |              | immersivepetroleum           | Immersive Petroleum                      | 4.3.0-36                     |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 40c36b3a463ef46f04557553ddee75bb00097815 | 1755070337     
incontrol-1.20-9.4.6.jar                                                  |              | incontrol                    | InControl                                | 1.20-9.4.6                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 0d324b97af98938f28f58f696e0b992c42eb8f31 | 438981801      
item-filters-forge-2001.1.0-build.59.jar                                  |              | itemfilters                  | Item Filters                             | 2001.1.0-build.59            | itemfilters-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            | 55a7f032c59489eca96069a7841601de2ff97590 | 3667785910     
Jade-1.20.1-Forge-11.13.2.jar                                             |              | jade                         | Jade                                     | 11.13.2+forge                | jade.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | 1997e5fe2db3a0575ca79bfe4720019f01fd2b8c | 305733389      
JadeAddons-1.20.1-Forge-5.5.0.jar                                         |              | jadeaddons                   | Jade Addons                              | 5.5.0+forge                  | jadeaddons.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 5e74e87f61cf05c18457f09dfa1cb70332b6b777 | 3691760882     
jei-1.20.1-forge-15.20.0.112.jar                                          |              | jei                          | Just Enough Items                        | 15.20.0.112                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | f12b3781af6337794ae6e010420a97585360ea2f | 3362609034     
JustEnoughResources-1.20.1-1.4.0.247.jar                                  |              | jeresources                  | Just Enough Resources                    | 1.4.0.247                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 2747c58f439c37a01139d35cab59ca1a54114009 | 3560569568     
knightsofterrafirma-3.0.4.jar                                             |              | knightsofterrafirma          | Epic Knights of TerraFirma               | 3.0.4                        | mixins.knightsofterrafirma.refmap.json, mixins.knightsofterrafirma.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 143331acbb0141f956494152d78334d2f576b48a | 3697137159     
konkrete_forge_1.8.0_MC_1.20-1.20.1.jar                                   |              | konkrete                     | Konkrete                                 | 1.8.0                        | konkrete.mixin-refmap.json, konkrete.mixin.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | 2019d821bed9071daabed43979433a5473ceee49 | 3537653842     
kubejs-forge-2001.6.5-build.26.jar                                        |              | kubejs                       | KubeJS                                   | 2001.6.5-build.26            | kubejs-common.mixins.json, kubejs-forge.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       | 8b0cc9797d4ed00fd2d1002d58960af8b32012ae | 2994552797     
kubejs-immersive-engineering-2001.5.29-build.23.jar                       |              | kubejs_immersive_engineering | KubeJS Immersive Engineering             | 2001.5.29-build.23           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | aa319636e1de4ce92a982a9fda1a954ed71f03a7 | 2107092621     
kubejs_tfc-1.20.1-1.3.4.jar                                               |              | kubejs_tfc                   | KubeJS TFC                               | 1.3.4                        | kubejs_tfc.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    | 4d252791f33012f81d28a6ce19ebcd3f6081e8b4 | 3359540868     
lithiccoins-1.1.1.jar                                                     |              | lithiccoins                  | Lithic Coin Mod                          | 1.1.1                        | lithiccoins.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 823e92df97308f292d54f64dca9e44686b0e00bf | 2642130809     
